scope,method,n_tasks,top1_is_gold,top1_is_gold_ci_low,top1_is_gold_ci_high,any_gold_coverage,any_gold_coverage_ci_low,any_gold_coverage_ci_high,complete_gold_coverage,complete_gold_coverage_ci_low,complete_gold_coverage_ci_high,gold_recall,gold_recall_ci_low,gold_recall_ci_high,skill_precision,skill_precision_ci_low,skill_precision_ci_high,extra_skill_count,extra_skill_count_ci_low,extra_skill_count_ci_high,context_tokens_approx,context_tokens_approx_ci_low,context_tokens_approx_ci_high,underload,underload_ci_low,underload_ci_high
all_tasks,bm25_top10,87,0.42528735632183906,0.3218390804597701,0.5287356321839081,0.7011494252873564,0.6091954022988506,0.7931034482758621,0.28735632183908044,0.19540229885057472,0.39080459770114945,0.47608100711548984,0.39126505199781064,0.5601847290640395,0.11379310344827583,0.09195402298850573,0.13563218390804596,8.862068965517242,8.64367816091954,9.080459770114942,21348.655172413793,19851.60603448276,22971.950574712642,0.7126436781609196,0.6091954022988506,0.8045977011494253
all_tasks,graph_all_content_seed3,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7011494252873564,0.6089080459770115,0.7931034482758621,0.3563218390804598,0.26408045977011496,0.45977011494252873,0.5143130815544609,0.4279501915708812,0.6022256431308154,0.12758620689655173,0.10229885057471262,0.15402298850574714,8.724137931034482,8.448275862068966,8.988505747126437,22672.58620689655,20943.656609195405,24486.275574712643,0.6436781609195402,0.5402298850574713,0.7471264367816092
all_tasks,graph_cv_all_seed3,87,0.47126436781609193,0.367816091954023,0.5862068965517241,0.7011494252873564,0.5977011494252874,0.7931034482758621,0.367816091954023,0.26436781609195403,0.47126436781609193,0.514887794198139,0.428537903667214,0.6009113300492611,0.12758620689655173,0.1011494252873563,0.15402298850574714,8.724137931034482,8.459770114942529,8.965804597701148,22586.011494252874,20822.21206896552,24366.730747126436,0.632183908045977,0.5287356321839081,0.7241379310344828
all_tasks,graph_cv_all_seed5,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7126436781609196,0.6206896551724138,0.8045977011494253,0.3563218390804598,0.25287356321839083,0.45977011494252873,0.5135194307608101,0.42489737274220046,0.5966105637657362,0.1252873563218391,0.10114942528735629,0.15172413793103448,8.74712643678161,8.471264367816092,9.0,22342.701149425287,20450.006609195403,24251.380172413792,0.6436781609195402,0.5402298850574713,0.735632183908046
all_tasks,graph_cv_corequired_seed3,87,0.47126436781609193,0.367816091954023,0.5632183908045977,0.7011494252873564,0.5977011494252874,0.7931034482758621,0.3448275862068966,0.25258620689655176,0.4482758620689655,0.5110563765736179,0.4282963875205255,0.5971599616858236,0.1252873563218391,0.09999999999999998,0.15172413793103448,8.74712643678161,8.493965517241378,9.000287356321838,21940.298850574713,20197.833620689657,23809.87011494253,0.6551724137931034,0.5517241379310345,0.7586206896551724
all_tasks,graph_cv_prune_top20,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7126436781609196,0.6091954022988506,0.8045977011494253,0.3333333333333333,0.22988505747126436,0.4367816091954023,0.5129720853858786,0.43314039408867,0.5988553639846743,0.1264367816091954,0.1011494252873563,0.1528735632183908,8.735632183908047,8.471264367816092,8.977011494252874,22409.862068965518,20708.789942528736,24339.75344827586,0.6666666666666666,0.5632183908045977,0.7586206896551724
all_tasks,graph_metadata_seed3,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7011494252873564,0.5977011494252874,0.8045977011494253,0.3333333333333333,0.2413793103448276,0.4367816091954023,0.5033935413245758,0.418336070060208,0.5911644772851671,0.12298850574712643,0.09885057471264368,0.1482758620689655,8.770114942528735,8.517241379310345,9.0,22253.310344827587,20550.516666666666,24145.217816091954,0.6666666666666666,0.5632183908045977,0.7586206896551724
all_tasks,graph_semantic_seed3,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7126436781609196,0.6091954022988506,0.8045977011494253,0.3563218390804598,0.26436781609195403,0.45977011494252873,0.5171866447728517,0.42669950738916257,0.6048741105637657,0.12758620689655173,0.10229885057471262,0.15172413793103448,8.724137931034482,8.459770114942529,8.96551724137931,22304.045977011494,20530.154310344828,24109.10488505747,0.6436781609195402,0.5402298850574713,0.7471264367816092
all_tasks,graph_transductive_upper_bound,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7011494252873564,0.6091954022988506,0.7931034482758621,0.5402298850574713,0.43649425287356325,0.6436781609195402,0.6197865353037767,0.5285987958401752,0.7053845101258893,0.167816091954023,0.13563218390804596,0.20114942528735635,8.32183908045977,7.977011494252873,8.64367816091954,22332.471264367818,20606.265229885055,24268.106034482757,0.45977011494252873,0.3563218390804598,0.5632183908045977
all_tasks,hybrid_top10,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7126436781609196,0.6091954022988506,0.8045977011494253,0.3333333333333333,0.2413793103448276,0.4367816091954023,0.5091406677613574,0.4211651614668856,0.5940441981390255,0.12413793103448274,0.1011494252873563,0.14942528735632182,8.758620689655173,8.505747126436782,9.0,22320.74712643678,20630.781896551725,24086.27528735632,0.6666666666666666,0.5744252873563218,0.7586206896551724
